Cheese,Country of origin,Region,Family,Type,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Alternative spellings,Producers,Synonyms,Calcium content,Fat content (in dry matter),
Ambert, France," Auvergne, Rhône-Alpes", Blue," semi-hard, artisan, blue-veined",50%," creamy, dense and supple", natural, blue," savory, sharp, smooth, tangy"," fruity, strong, woody",  no , Fourme d'Ambert,,,,,
Beaufort, France," Savoie, French Alps", Gruyere, firm,34%, creamy and smooth,, pale yellow, strong," aromatic, pungent",  no ,, Entremont,,,,
Bleu d'Auvergne , France, Auvergne, Blue," semi-soft, artisan",50%, creamy and smooth, bloomy, ivory," buttery, creamy, grassy, herbaceous, salty, spicy, tangy", strong,  no ,,,,,,
Boursin , France, Croisy-sur-Eure,," soft, processed",60%," creamy, crumbly and spreadable", rindless, white," buttery, full-flavored, herbaceous, smooth"," fresh, strong", yes ,, Boursin Bel UK Ltd, Gournay cheese,,,
Brie, France, Seine-et-Marne, Brie," soft, artisan, soft-ripened", 8.4 g/100g," buttery, runny and soft-ripened", bloomy, cream," fruity, mild, nutty, tangy"," pronounced, strong",  no ,,,,,,
Burrata , Italy and United States, Apulia , Mozzarella," fresh soft, artisan",, creamy and stringy, leaf wrapped, white," buttery, milky"," fresh, milky",  no ,," BelGioioso Cheese Inc., Fiore di Nonno",,,,
Cabrales, Spain, Asturias, Blue," semi-hard, artisan, blue-veined",45%, creamy and firm, mold ripened , blue," acidic, salty, sharp", strong,  no ," Cabraliego, Queso de Cabrales, Quesu Cabrales",, Cabrales DOP,,,
Cambozola Grand Noir , Germany, Allgäu, Blue," semi-soft, blue-veined",, creamy, waxed, pale yellow," sharp, sweet", aromatic, yes ,, Käserei Champignon," Cambozola Black Label, Cambozola Classic, Cambozola Finesse, Cambozola Balance, Cambozola",,,
Camembert , France," Normandy, Camembert", Camembert," soft, artisan, soft-ripened",45%," chalky, runny, smooth, soft, soft-ripened and supple", bloomy, pale yellow," buttery, creamy, milky, sweet", earthy,  no ,,," Camembert Le Châtelain, Camembert de Normandie PDO",,,
Cantal , France," Cantal, Auvergne",," semi-hard, hard, artisan",45%," brittle, close, compact, crumbly, firm and smooth", natural, pale yellow," buttery, milky, nutty, strong, sweet, tangy"," earthy, milky, strong",  no ," Cantal jeune, Cantal Entre-deux, Cantal Vieux, Cantal fremier, Cantal laitier, Cantal AOC",," Cantalet, Fourme de Cantal",,,
Chaource , France, Aube ,," soft, soft-ripened",25%," creamy, crumbly and soft-ripened",, cream," buttery, milky",,  no ,,,,,,
Chaumes , France, St Antoine,," soft, semi-soft, soft-ripened",50%," creamy, smooth, springy and supple", washed, pale yellow," full-flavored, nutty"," aromatic, strong",  no , Chaumes la Crème, Savencia Fromage & Dairy,,,,
Cheddar , England, Somerset, Cheddar," hard, artisan, processed", 9 g/100g, compact and crumbly,, pale yellow," creamy, sharp",,  no ,," Grafton Village Cheese Company, West Country Farmhouse Cheesemakers, Wexford Creamery, Williams Cheese Company  , WSU Creamery",,,,
Chevre , France,,," soft, semi-soft, hard, firm",, firm and soft,, white," earthy, tangy, tart",,,,, Goat cheese,,,
Comte , France, Jura Massif ,," semi-hard, artisan",45%," dense, firm, grainy, open, smooth and supple", natural, pale yellow," fruity, nutty, salty, savory, smokey , sweet", nutty,  no ," Comté, Comte Fort Saint Antoine, Comté extra"," Anthony Rowcliffe & Son Ltd, Entremont, FROMAGERIES ARNAUD, President Cheese",,,,
