Cheese,Country of origin,Region,Family,Type,Fat content (g),Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Ambert, France," Auvergne, Rhône-Alpes", Blue," semi-hard, artisan, blue-veined",,0.5," creamy, dense and supple", natural, blue," savory, sharp, smooth, tangy"," fruity, strong, woody",  no ,
Beaufort, France," Savoie, French Alps", Gruyere, firm,,0.34, creamy and smooth,, pale yellow, strong," aromatic, pungent",  no , Entremont
Bleu d'Auvergne , France, Auvergne, Blue," semi-soft, artisan",,0.5, creamy and smooth, bloomy, ivory," buttery, creamy, grassy, herbaceous, salty, spicy, tangy", strong,  no ,
Boursin , France, Croisy-sur-Eure,," soft, processed",,0.6," creamy, crumbly and spreadable", rindless, white," buttery, full-flavored, herbaceous, smooth"," fresh, strong", yes , Boursin Bel UK Ltd
Brie, France, Seine-et-Marne, Brie," soft, artisan, soft-ripened", 8.4 g/100g,," buttery, runny and soft-ripened", bloomy, cream," fruity, mild, nutty, tangy"," pronounced, strong",  no ,
Burrata , Italy and United States, Apulia , Mozzarella," fresh soft, artisan",,, creamy and stringy, leaf wrapped, white," buttery, milky"," fresh, milky",  no ," BelGioioso Cheese Inc., Fiore di Nonno"
Cabrales, Spain, Asturias, Blue," semi-hard, artisan, blue-veined",,0.45, creamy and firm, mold ripened , blue," acidic, salty, sharp", strong,  no ,
Cambozola Grand Noir , Germany, Allgäu, Blue," semi-soft, blue-veined",,, creamy, waxed, pale yellow," sharp, sweet", aromatic, yes , Käserei Champignon
Camembert , France," Normandy, Camembert", Camembert," soft, artisan, soft-ripened",,0.45," chalky, runny, smooth, soft, soft-ripened and supple", bloomy, pale yellow," buttery, creamy, milky, sweet", earthy,  no ,
Cantal , France," Cantal, Auvergne",," semi-hard, hard, artisan",,0.45," brittle, close, compact, crumbly, firm and smooth", natural, pale yellow," buttery, milky, nutty, strong, sweet, tangy"," earthy, milky, strong",  no ,
Chaource , France, Aube ,," soft, soft-ripened",,0.25," creamy, crumbly and soft-ripened",, cream," buttery, milky",,  no ,
Chaumes , France, St Antoine,," soft, semi-soft, soft-ripened",,0.5," creamy, smooth, springy and supple", washed, pale yellow," full-flavored, nutty"," aromatic, strong",  no , Savencia Fromage & Dairy
Cheddar , England, Somerset, Cheddar," hard, artisan, processed", 9 g/100g,, compact and crumbly,, pale yellow," creamy, sharp",,  no ," Grafton Village Cheese Company, West Country Farmhouse Cheesemakers, Wexford Creamery, Williams Cheese Company  , WSU Creamery"
Chevre , France,,," soft, semi-soft, hard, firm",,, firm and soft,, white," earthy, tangy, tart",,,
Comte , France, Jura Massif ,," semi-hard, artisan",,0.45," dense, firm, grainy, open, smooth and supple", natural, pale yellow," fruity, nutty, salty, savory, smokey , sweet", nutty,  no ," Anthony Rowcliffe & Son Ltd, Entremont, FROMAGERIES ARNAUD, President Cheese"
Crescenza , Italy,"  Lombardy, Piedmont, and Veneto", Italian Cheese," fresh soft, artisan",,0.51," buttery, creamy and spreadable", rindless, white," creamy, mild, sweet"," pleasant, rich", yes , Various
Crottin de Chavignol , France," Loire, Chavignol",," hard, artisan, soft-ripened",,0.45, crumbly and smooth, natural, white," full-flavored, nutty", goaty,  no , Various
Danablu (Danish Blue) , Denmark,, Blue," semi-soft, blue-veined", 25-30%,, creamy and crumbly,, white," salty, sharp",,  no , Rosenborg 
Double Gloucester , England and United Kingdom, Gloucestershire,," hard, artisan", 54.23 g/100g,," crumbly, dense, firm, flaky and smooth", natural, golden yellow," creamy, mellow, milky, nutty", sweet, yes , Taw Valley Creamery
Edam , Holland, Edam,, semi-hard,,0.28, compact, waxed, pale yellow," mild, nutty, salty",,  no , FrieslandCampina
Epoisses de Bourgogne , France," Côte-d'Or, Époisses",," soft, smear-ripened",,," chewy, creamy and firm", washed,," salty, spicy, sweet", pungent,," Fromagerie Lincet, Jacques Hennart"
Feta , Greece," Macedonia, Thrace, Thessaly, Central Mainland Greece, the Peloponnese, Lesvos and Island of Kefaloni", Feta," soft, brined", 21 g/100g,," creamy, crumbly, grainy and open",, white," full-flavored, salty, tangy"," nutty, strong",  no , CHRISTAKIS Greek Cheeses
Fontina , United States, Wisconsin,, hard,,, creamy, natural, ivory," creamy, smooth, tart"," mild, yeasty",, Emmi Roth USA
Gorgonzola , Italy, Gorgonzola,," soft, blue-veined",  25-35%,, crumbly and firm,, yellow," mild, sharp", nutty,,
Gouda , Netherlands," South Holland, Gouda", Gouda," semi-hard, artisan, brined, processed", 31 g/100g,," compact, crumbly, dense and springy", waxed, yellow," creamy, full-flavored, nutty, sweet", pungent,  no ,
Grana Padano , Italy, Po River Valley, Parmesan,, 39-41%,, crumbly and grainy, natural, pale yellow, fruity,,  no ,
Le Gruyère  , Switzerland,,, hard, 49-53%,, compact,,, sweet, earthy,  no ," Switzerland in Fribourg, Vaud, Jura, Neuchâtel and part of the canton of Bern"
Cream Havarti , Denmark,, Havarti," semi-soft, processed", 11.0 g/100g,, smooth, rindless, pale yellow," buttery, creamy, sweet", sweet, yes ,
Langres , France, Champagne-Ardenne,, semi-soft,,, crumbly and firm, washed, orange," mild, salty", strong,  no , Rians
Livarot , France," Normandy, Livarot",," soft, artisan, brined",,0.4," creamy, open, smooth and springy", washed, straw," citrusy, full-flavored, nutty, spicy"," pungent, strong",  no ,
Manchego , Spain, La Mancha ,, semi-soft,,, firm and supple, waxed, pale yellow," fruity, nutty, sweet, tangy"," grassy, pleasant",  no ,
Mascarpone (Australian) , Australia,,," fresh soft, processed", 48.5 g/100g,," buttery, creamy, smooth, soft and spreadable", rindless, ivory," buttery, creamy, milky, smooth, sweet, tangy"," fresh, milky, sweet", yes ," La Casa Del Formaggio, Paesanella Cheese Manufacturers"
Mimolette (Boule de Lille) , France, Lille ,, semi-hard,,0.4, firm, natural, orange," buttery, caramel, nutty, salty", fruity,  no , Losfeld  
Morbier , France, Morbier,," semi-soft, artisan",,0.45," creamy, springy and supple", washed, ivory," citrusy, fruity, full-flavored, tangy"," grassy, pungent, strong",  no ," Entremont, Various"
Mozzarella , Italy," Campania, Abruzzo, Molise and Puglia",," semi-soft, brined",,0.45," springy, stringy and supple", rindless, white, milky," fresh, milky",,
Munster , France," Vosges, Haut-Rhin, Bas-Rhin",," soft, smear-ripened", 45-50%,," creamy, smooth and sticky", washed, white," savory, tangy"," stinky, strong",  no ,
Neufchatel , France," Haute-Normandie, Neufchâtel-en-Bray", Camembert," semi-soft, artisan",,0.45," close, firm, grainy, spreadable and supple", bloomy, white," mushroomy, nutty, salty, sharp", yeasty,  no ,
Parmesan , Italy," Provinces of Parma, Reggio Emilia, Modena, Bologna , Mantua ", Parmesan," hard, artisan", 25.83  g/100g,," crystalline, dense and grainy", natural, straw," fruity, nutty, savory, sharp", strong,  no , Various
Pecorino , Italy,, Pecorino, hard,,," creamy, crumbly, firm and open",, pale yellow," buttery, mild, nutty",,  no ,
Provolone , Italy, Po valley region, Pasta filata," semi-hard, artisan",,," firm, grainy and open", waxed, pale yellow," buttery, mild, sharp, spicy, sweet, tangy", pleasant,,
Reblochon , France, Haute-Savoie ,," semi-soft, artisan, smear-ripened",,," close, compact, smooth and supple", washed, ivory," fruity, mild, nutty"," earthy, herbal",  no , Entremont
Fresh Ricotta , Italy,, Cottage," fresh firm, whey", 10.1 g/100g,," creamy, fluffy and grainy", rindless, white, sweet, fresh,  no ," Canaan Cheeses LTD, Fine Italian Foods"
Roquefort , France, region surrounding Roquefort-sur-Soulzon, Blue," semi-soft, artisan, blue-veined",,, creamy and crumbly, natural, blue," salty, sharp, tangy",,  no ,
Sbrinz , Switzerland," Lucerne, Schwyz, Unterwald, and Zoug, and the following additional places", Swiss Cheese," hard, artisan",,0.45, dense and flaky, natural, yellow," butterscotch, full-flavored, nutty, spicy, strong, tangy"," aromatic, spicy",  no ,
Selles sur Cher , France, Sologne, Blue," soft, processed, whey",,0.45, firm, ash coated, blue, salty, musty, yes ,
