Cheese,Type, Wines, Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Blue Cheese,blue,Dessert, Apple juice, Apples, Crusty bread, Black olives, Beef
Blue Cheese,blue, Red, Coffee, Carrots, Nut bread, Honey , Fish 
Blue Cheese,blue, Sparkling, Gin  , Celery, Whole grain crackers,Pecans, Ham 
Blue Cheese,blue,,Lambic  , Dried  cranberries,,,Poultry
Blue Cheese,blue,,Pear nectar, Cucumbers,,,Shellfish
Blue Cheese,blue,, Stout, Pears,,,
Blue Cheese,blue,,,,,,
Creamy Blue ,blue, Dessert, Apple juice, Apricots (fresh or dried) , Fruit bread, Almonds, Beef
Creamy Blue ,blue, Red,Coffee,Celery, Whole grain crackers, Black olives, Fish 
Creamy Blue ,blue, Sparkling, Gin  , Cucumbers, Water crackers, Dates, Ham 
Creamy Blue ,blue,,Lambic  , Figs,,,Poultry
Creamy Blue ,blue,,Pear nectar, Pears,,,Shellfish
Creamy Blue ,blue,, Stout,,,,
Gorgonzola,blue, Dessert, Apple juice, Apples, Crusty bread, Black olives, Beef
Gorgonzola,blue, Red,Coffee, Bell peppers, Nut bread, Raisins, Fish 
Gorgonzola,blue, Sparkling, Gin  , Carrots, Pumpernickel, Walnuts, Ham 
Gorgonzola,blue,,Lambic  , Citrus fruits  ,,,Poultry
Gorgonzola,blue,,Pear nectar,Dried cranberries,,,Shellfish
Gorgonzola,blue,, Stout, Tomatoes,,,
Roquefort,blue, Dessert, Apple juice, Apricots (fresh or dried), Crusty bread, Black olives,Beef
Roquefort,blue, Red,Coffee, Apples, Whole grain crackers, Dates, Fish 
Roquefort,blue, Sparkling, Gin  , Avocados, Water crackers, Roasted red peppers, Ham 
Roquefort,blue,,Lambic  , Celery,,,Poultry
Roquefort,blue,,Pear nectar, Cucumbers,, ,Shellfish
Roquefort,blue,, Stout, Grapes,,,
Stilton,blue, Dessert, Apple juice, Bell peppers,,,
Stilton,blue, Red, Coffee, Carrots, Nut bread, Honey , Beef
Stilton,blue, Sparkling, Gin  , Celery, Pumpernickel, Roasted red peppers, Fish 
Stilton,blue,,Lambic  , Dried  cranberries, Wheat crackers,Pecans, Ham 
Stilton,blue,,Pear nectar, Figs,,,Shellfish
Stilton,blue,, Stout, Pears,,,Poultry
Stilton,blue,,,,,,
Appenzeller,hard, Fruity red, Bock, Apples, Raisin bread, Almonds, Ham 
Appenzeller,hard, White, Light beer, Carrots, Sourdough bread, Fruit butter, Poultry
Appenzeller,hard,,, Cucumbers,Whole grain crackers , Pickles, Prosciutto
Appenzeller,hard,,, Melons ,,,Pork
Appenzeller,hard,,, Strawberries,,,
Appenzeller,hard,,,Radishes,,,
Gruyere,hard, Fruity white, Cider , Apples, Pumpernickel, Mustard, Ham 
Gruyere,hard, Red, Porter, Figs, Wheat crackers, Pecans, Poultry
Gruyere,hard,, Stout, Mushrooms, Whole grain bread, Pickles, Veal
Gruyere,hard,, Tomato juice, Pears,,,Pork
Gruyere,hard,,Cranberry juice, Potato dishes ,,,
Gruyere,hard,,,Red peppers,,,
Parmesan,hard, Dessert, Ale, Celery,Flatbread, Balsamic vinegar , Beef
Parmesan,hard, Red,Coffee, Figs, Fruit bread, Raisins, Ham 
Parmesan,hard, Sparkling, Espresso, Grapes, Pumpernickel, Walnuts, Poultry
Parmesan,hard,,, Plums,,, Prosciutto
Parmesan,hard,,, Tomatoes,,, Salami
Parmesan,hard,,, Zucchini dishes ,,,Pork
Pecorino Romano,hard, Red, Light beer, Apples, Fruit bread, Fruit butter, Beef
