Variety,Wines,Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Appenzeller, Fruity red, Bock, Apples, Raisin bread, Almonds, Ham 
Appenzeller, White, Light beer, Carrots, Sourdough bread, Fruit butter, Poultry
Appenzeller,,, Cucumbers,Whole grain crackers , Pickles, Prosciutto
Appenzeller,,, Melons ,,,Pork
Appenzeller,,, Strawberries,,,
Appenzeller,,,Radishes,,,
Gruyere, Fruity white, Cider , Apples, Pumpernickel, Mustard, Ham 
Gruyere, Red, Porter, Figs, Wheat crackers, Pecans, Poultry
Gruyere,, Stout, Mushrooms, Whole grain bread, Pickles, Veal
Gruyere,, Tomato juice, Pears,,,Pork
Gruyere,,Cranberry juice, Potato dishes ,,,
Gruyere,,,Red peppers,,,
Parmesan, Dessert, Ale, Celery,Flatbread, Balsamic vinegar , Beef
Parmesan, Red,Coffee, Figs, Fruit bread, Raisins, Ham 
Parmesan, Sparkling, Espresso, Grapes, Pumpernickel, Walnuts, Poultry
Parmesan,,, Plums,,, Prosciutto
Parmesan,,, Tomatoes,,, Salami
Parmesan,,, Zucchini dishes ,,,Pork
Pecorino Romano, Red, Light beer, Apples, Fruit bread, Fruit butter, Beef
Pecorino Romano, White ,, Bell peppers, Sourdough bread,, Prosciutto
Pecorino Romano,,, Carrots, Whole grain crackers,, Salami
Pecorino Romano,,, Celery,,,
Pecorino Romano,,, Melons ,,,
Pecorino Romano,,,Plums,,,
Romano  ,Red, Ale, Cucumbers, Flatbread, Olives,Beef
Romano  ,, Cider Apples, Figs, Fruit bread, Pepperon-cini,Pork
Romano  ,,, Pears, Rye bread, Honey , Ham 
Romano  ,,, Tomatoes,,, Poultry
Romano  ,,, Zucchini dishes,,, Prosciutto
Romano  ,,,,,, Salami
