Variety,Wines,Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Edam (mild), Fruity red, Lager , Carrots, Dark bread, Almonds, Beef
Edam (mild), Fruity white,Stout, Celery, Flatbread, Chutney, Cold cuts
Edam (mild),,, Cucumbers, Rye bread, Mustard, Ham 
Edam (mild),,, Dried  cranberries, Wheat crackers,, Prosciutto
Edam (mild),,, Peaches,,,Pork
Edam (mild),,, Pears,,,
Emmental, Fruity red, Cran-raspberry juice , Apples, Melba toast, Dates, Cold cuts
Emmental,, Lambic, Bell peppers, Pretzels, Mustard, Corned beef
Emmental,, Pale ale, Cherries Grapes, Pumpernickel, Pickles, Ham 
Emmental,,, Mushrooms,,, Prosciutto
Emmental,,, Potato dishes,,,Pastrami
Gouda (mild), Fruity red, Cranberry juice, Apricots (fresh/dried),Flatbread, Almonds, Beef
Gouda (mild), Fruity white, Lager , Carrots, Rye bread, Mustard, Cold cuts
Gouda (mild),, Pilsner, Celery, Wheat crackers, Pickles, Ham 
Gouda (mild),, Stout, Cucumbers, Whole wheat bread, Raisins, Prosciutto
Gouda (mild),,Lemonade, Grapes,,,Pork
Gouda (mild),,, Melon ,,,
