Variety,Wines,Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Muenster, Fruity white, Cider   , Apples, Dark bread, Chutney, Sausage
Muenster, Light red,Lager, Bell peppers, Nut bread, Mustard, Seafood
Muenster, Spicy white,Pilsner, Grapes, Wheat crackers, Pickles, Smoked turkey
Muenster,,, Pears,, Walnuts,
Muenster,,, Radishes,,,
Muenster,,, Spinach dishes ,,,
Muenster,,,Tomatoes, Breadsticks, Pesto, Beef
Provolone, Fruity red, Ale, Bell peppers, Flatbread, Mustard, Cured meat
Provolone, Light red,Tomato juice, Figs, Wheat crackers, Walnuts, Ham 
Provolone, Spicy white, Lager , Grapes,,, Prosciutto
Provolone,,, Pears,,,Pork
Provolone,,, Tomatoes,,,
Swiss, Fruity white, Cran-raspberry Juice , Apples,Melba toast, Cashews, Bratwurst
Swiss, Aged red, Lambic, Bell peppers, Pretzels, Mustard, Cold cuts
Swiss,, Tomato juice, Cherries , Pumpernickel, Pickles, Ham 
Swiss,,, Mushrooms,, Raisins,Pastrami
Swiss,,, Potato dishes ,,,
Swiss,,,Grapes,,,
