Variety,Wines,Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Havarti, Fruity red, Pilsner, Carrots, Melba toast, Almonds,Poultry
Havarti, Light red, Stout, Cucumbers, Rye bread, Chutney, Seafood
Havarti,,, Dates, Water crackers, Roasted red peppers , Smoked turkey
Havarti,,, Pears,,,
Havarti,,, Plums,,,
Havarti,,, Zucchini,,,
Limburger, Brut sparkling, Bock, Apples, Dark bread, Mustard, Cold cuts
Limburger, White, India pale ale, Celery, Rye bread, Pickles, Kippered herring
Limburger,,, Onions , Pretzels, Walnuts, Sardines
Limburger,,,Pears,,,
Monterey Jack, Aged red, Cran-raspberry juice, Apples,Melba toast, Cashews, Bratwurst
Monterey Jack, Fruity white, Lambic , Bell peppers, Pretzels, Mustard, Cold cuts
Monterey Jack,,Tomato juice, Cherries Grapes, Pumpernickel, Pickles, Ham 
Monterey Jack,,, Mushrooms,, Raisins,Pastrami
Monterey Jack,,, Potato dishes ,,,
Mozzarella, Fruity red, Apple juice, Apples, Dark bread, Chutney, Sausage
Mozzarella, Fruity white, Cranberry juice, Bell peppers, Nut bread, Mustard, Seafood
Mozzarella,, Hot or iced tea, Carrots, Wheat crackers, Pickles, Smoked turkey
Mozzarella,, Pilsner, Grapes,, Walnuts,
Mozzarella,,, Melon ,,,
Mozzarella,,,Tomatoes,,,
Port Salut, Fruity red, Amber ale, Apples, Rye bread, Fruit butter, Beef
Port Salut, Light red,, Carrots, Whole grain bread, Mustard, Ham 
Port Salut,,, Celery, Pumpernickel, Pecans, Sardines
Port Salut,,, Grapes,,,Pork
Port Salut,,, Plums,,,
Port Salut,,, Zucchini,,,
